customer_id,tenure_months,monthly_charges,total_charges,plan,contract,payment_method,senior_citizen,support_calls,avg_call_minutes,churn
C-10000,24,57.77,1431.24,Standard,Month-to-month,Bank transfer,0,7,142.3,No
C-10001,86,28.19,2411.29,Basic,One year,Bank transfer,1,8,398.3,No
C-10002,81,78.43,6500.04,Premium Plus,One year,Credit card,0,2,181.3,No
C-10003,20,91.12,,Standard,Two year,Credit card,0,7,87.4,No
C-10004,21,56.93,1179.94,Basic,Two year,Bank transfer,1,0,499.1,Yes
C-10005,9,50.49,438.18,Premium,One year,Credit card,0,0,846.9,Yes
C-10006,41,41.56,1767.08,Premium Plus,Month-to-month,Credit card,0,7,541.4,Yes
C-10007,107,98.13,10120.36,Premium Plus,Two year,Credit card,1,7,620.5,Yes
C-10008,24,52.52,1265.65,Premium Plus,One year,Credit card,0,4,602.6,No
C-10009,24,22.48,517.14,Premium,Two year,Electronic check,0,8,219.1,No
C-10010,113,109.69,11798.74,Basic,Two year,Mailed check,1,3,756.9,Yes
C-10011,99,100.69,10400.78,Premium,One year,Bank transfer,0,6,211.6,No
C-10012,5,51.74,250.12,Premium,Month-to-month,Mailed check,0,2,274.7,Yes
C-10013,8,50.68,398.36,Premium Plus,Two year,Electronic check,0,0,310.3,No
C-10014,9,34.25,296.57,Premium,One year,Mailed check,0,3,691.8,No
C-10015,32,70.86,2279.57,Premium Plus,Month-to-month,Electronic check,0,7,84.3,Yes
C-10016,25,46.92,1129.08,Basic,Month-to-month,Credit card,0,7,130.5,No
C-10017,27,57.33,1611.61,Standard,Month-to-month,Credit card,0,0,60.8,No
C-10018,116,48.92,5546.08,Standard,Month-to-month,Bank transfer,0,6,899.4,No
C-10019,34,104.07,3386.21,Premium,Month-to-month,Electronic check,0,6,646.7,No
C-10020,24,75.65,1870.44,Premium,One year,Bank transfer,0,4,882.9,No
C-10021,105,44.59,,Premium,One year,Mailed check,0,0,571.4,No
C-10022,1,87.27,89.56,Premium Plus,Two year,Electronic check,1,1,512.5,No
C-10023,118,32.34,3918.38,Premium Plus,Two year,Electronic check,0,1,448.7,No
C-10024,32,20.94,649.41,Basic,One year,Bank transfer,0,3,256.8,No
C-10025,108,23.68,2479.72,Premium Plus,Two year,Credit card,0,1,790.7,No
C-10026,102,75.18,7382.66,Standard,Month-to-month,Mailed check,0,8,672.3,No
C-10027,40,104.77,4266.52,Basic,Two year,Credit card,0,0,847.8,No
C-10028,3,63.25,189.67,Premium Plus,One year,Electronic check,0,3,99.5,No
C-10029,90,64.89,5882.04,Basic,One year,Electronic check,0,3,881.6,Yes
C-10030,75,111.7,8482.47,Standard,Month-to-month,Electronic check,0,7,422.8,Yes
C-10031,5,99.72,521.48,Premium,One year,Electronic check,0,5,496.5,Yes
C-10032,26,97.57,2431.68,Premium Plus,Month-to-month,Electronic check,0,0,377.0,No
C-10033,8,26.2,200.5,Premium Plus,Month-to-month,Electronic check,0,8,103.9,No
C-10034,85,29.58,2545.48,Premium Plus,Month-to-month,Credit card,1,6,449.9,No
C-10035,92,81.92,7502.03,Premium,Two year,Bank transfer,1,3,150.7,No
C-10036,5,91.33,450.05,Standard,Two year,Credit card,0,7,216.2,Yes
C-10037,13,26.05,347.26,Premium,Two year,Bank transfer,0,8,711.4,No
C-10038,20,50.87,1026.19,Premium,One year,Mailed check,0,0,259.4,Yes
C-10039,4,54.38,214.07,Standard,Two year,Credit card,1,7,563.8,No
C-10040,67,76.61,4930.04,Premium,Two year,Electronic check,0,7,244.3,No
C-10041,6,42.3,259.75,Standard,One year,Bank transfer,0,6,232.5,Yes
C-10042,13,56.28,716.32,Basic,One year,Mailed check,0,5,96.9,Yes
C-10043,2,39.78,78.29,Standard,Month-to-month,Mailed check,1,2,224.6,No
C-10044,17,111.06,1960.71,Basic,Two year,Bank transfer,0,3,316.3,No
C-10045,30,100.95,3144.09,Standard,Two year,Electronic check,1,1,181.3,No
C-10046,16,39.17,656.61,Premium Plus,Two year,Mailed check,0,0,701.0,No
C-10047,33,49.42,1594.99,Standard,One year,Mailed check,0,8,873.4,No
C-10048,103,92.73,9444.33,Premium Plus,Two year,Bank transfer,0,7,495.9,Yes
C-10049,18,91.25,1655.83,Premium Plus,Two year,Electronic check,1,3,244.4,No
C-10050,32,106.32,3426.52,Premium Plus,Month-to-month,Bank transfer,0,4,522.5,No
C-10051,14,49.5,701.39,Premium,Month-to-month,Credit card,0,7,452.7,No
C-10052,84,100.45,8213.18,Premium,One year,Electronic check,0,5,817.2,Yes
C-10053,45,71.28,3070.11,Basic,One year,Electronic check,1,8,228.3,Yes
C-10054,35,52.92,1810.43,Premium,Two year,Mailed check,1,8,826.4,No
C-10055,3,48.18,148.27, ,One year,Electronic check,1,7,609.4,No
C-10056,19,42.76,816.71,standard,One year,Credit card,0,7,346.2,No
C-10057,9,104.58,974.44,Premium Plus,Two year,Electronic check,0,5,176.7,Yes
C-10058,17,114.34,1912.64,Basic,One year,Credit card,1,6,636.0,No
C-10059,95,73.76,7303.0,Premium,Two year,Mailed check,0,5,537.3,No
C-10060,85,40.42,3301.24,Premium Plus,Month-to-month,Credit card,0,4,138.3,Yes
C-10061,12,75.29,876.29,Basic,Two year,Credit card,0,4,232.9,Yes
C-10062,47,72.44,3345.7,Premium Plus,Month-to-month,Credit card,0,6,191.9,Yes
C-10063,8,73.65,610.75,Premium Plus,Two year,Mailed check,0,3,320.2,No
C-10064,102,80.37,8164.09,Premium,Two year,Mailed check,0,0,892.5,No
C-10065,99,102.46,10134.37,Standard,Two year,Credit card,0,0,679.3,No
C-10066,47,108.1,4977.79,Premium Plus,One year,Mailed check,0,6,269.3,No
C-10067,87,58.47,5313.61,Standard,Two year,Mailed check,0,2,290.0,No
C-10068,47,111.63,5047.88,Standard,One year,Bank transfer,0,1,694.5,No
C-10069,62,65.09,3863.34,Premium,Month-to-month,Credit card,0,6,348.7,No
C-10070,79,59.67,4632.43,Basic,One year,Credit card,0,7,447.5,No
C-10071,11,85.7,910.78,Premium Plus,Month-to-month,Electronic check,0,1,208.9,Yes
C-10072,11,94.14,1012.06,Standard,Month-to-month,Credit card,0,5,209.5,Yes
C-10073,6,73.23,440.39,Premium Plus,Two year,Electronic check,0,6,639.9,No
C-10074,98,79.82,,Basic,One year,Mailed check,0,3,136.8,No
C-10075,73,118.93,9080.17,Premium,Month-to-month,Electronic check,0,2,668.2,Yes
C-10076,4,71.25,276.65,Premium,One year,Credit card,0,6,161.5,Yes
C-10077,26,55.66,1431.12,Standard,Month-to-month,Credit card,0,3,115.5,Yes
C-10078,47,82.39,3975.93,Basic,Month-to-month,Credit card,1,1,658.5,Yes
C-10079,17,115.9,2063.37,Premium,Two year,Mailed check,0,5,207.3,No
C-10080,70,68.21,4718.54,Premium,Month-to-month,Mailed check,0,8,553.5,No
C-10081,2,22.12,43.11,Basic,One year,Electronic check,0,0,175.5,No
C-10082,106,40.2,4357.21,Premium Plus,Month-to-month,Credit card,0,5,172.8,Yes
C-10083,69,98.7,7023.27,Basic,Two year,Electronic check,0,3,771.4,No
C-10084,59,44.22,2660.19,Basic,Two year,Mailed check,1,6,498.0,No
C-10085,20,82.98,1681.9,Basic,One year,Mailed check,0,3,165.5,Yes
C-10086,22,74.88,1641.94,Standard,Month-to-month,Mailed check,0,3,265.7,No
C-10087,22,44.9,965.26,Premium,Two year,Credit card,0,1,858.9,No
C-10088,61,57.77,3500.51,Premium Plus,One year,Mailed check,0,7,76.6,No
C-10089,86,105.4,8770.44,Premium,Two year,Credit card,0,7,316.9,No
C-10090,43,76.21,3177.32,Premium Plus,Month-to-month,Mailed check,0,0,70.8,No
C-10091,64,60.46,3865.4,Premium Plus,One year,Electronic check,1,6,803.4,No
C-10092,10,113.21,1162.81,Standard,Month-to-month,Bank transfer,0,8,655.7,No
C-10093,71,25.77,1744.5,Premium Plus,One year,Bank transfer,0,0,645.9,No
C-10094,17,80.54,1391.44,Standard,One year,Mailed check,0,0,158.1,No
C-10095,12,91.16,1048.01,Premium Plus,One year,Mailed check,0,6,199.3,No
C-10096,81,89.18,7495.48,Premium Plus,Two year,Electronic check,0,1,594.4,No
C-10097,53,46.9,2606.76,Standard,Two year,Credit card,0,0,141.4,No
C-10098,89,61.68,5317.37,Premium,Two year,Mailed check,0,3,468.6,Yes
C-10099,10,76.71,790.82,Standard,Month-to-month,Mailed check,0,4,885.7,No
C-10100,87,82.68,7105.21,Basic,Two year,Bank transfer,0,1,347.4,No
C-10101,32,68.52,2084.59,Basic,Month-to-month,Electronic check,0,1,237.3,No
C-10102,4,80.3,318.93,Premium,One year,Bank transfer,0,5,899.5,Yes
C-10103,30,86.51,2551.25,Premium Plus,Two year,Electronic check,0,0,443.8,No
C-10104,96,103.54,9720.63,Standard,Month-to-month,Mailed check,0,5,439.6,No
C-10105,113,61.31,7144.61,Standard,Month-to-month,Electronic check,1,5,793.7,No
C-10106,70,64.43,4441.7,Premium Plus,One year,Credit card,0,1,676.8,No
C-10107,46,39.51,1856.84,Standard,Two year,Electronic check,1,2,478.3,No
C-10108,9,103.24,927.5,Premium Plus,Month-to-month,Mailed check,1,3,237.8,No
C-10109,7,63.49,439.25,Basic,Month-to-month,Bank transfer,1,3,664.1,Yes
C-10110,118,32.31,3925.26,Standard,Two year,Bank transfer,0,3,842.7,No
C-10111,12,54.32,675.05,Premium Plus,Two year,Mailed check,0,3,277.6,No
C-10112,38,31.14,1235.62,Premium,Two year,Bank transfer,0,2,776.8,No
C-10113,91,93.69,8430.43,Premium,Month-to-month,Credit card,0,5,707.9,Yes
C-10114,21,86.37,1806.62,Standard,Month-to-month,Mailed check,0,4,763.3,No
C-10115,118,65.58,7992.07,Premium,Month-to-month,Electronic check,0,5,319.5,No
C-10116,9,119.68,1099.11,Premium Plus,Two year,Credit card,1,0,884.2,Yes
C-10117,53,102.79,5576.29,Standard,Two year,Mailed check,1,7,671.0,Yes
C-10118,47,111.24,5321.29,Standard,Month-to-month,Bank transfer,0,6,388.5,Yes
C-10119,41,89.64,3539.59,Standard,Two year,Electronic check,1,4,444.3,No
C-10120,22,33.76,765.33,Premium Plus,One year,Mailed check,1,0,364.3,No
C-10121,12,98.55,1223.0,Standard,One year,Electronic check,1,1,358.7,No
C-10122,102,114.51,12228.66,Basic,Two year,Credit card,0,3,88.6,No
C-10123,31,68.86,2239.51,Standard,Two year,Electronic check,0,7,786.5,No
C-10124,81,83.23,6486.83,Premium Plus,One year,Mailed check,0,0,553.0,Yes
C-10125,105,89.37,9519.54,Basic,Two year,Credit card,0,4,540.0,No
C-10126,9,26.35,238.48,Standard,One year,Credit card,1,1,495.9,Yes
C-10127,8,116.57,886.43,Basic,Month-to-month,Credit card,1,5,163.4,Yes
C-10128,22,40.62,852.09,Standard,Month-to-month,Electronic check,0,8,310.8,No
C-10129,19,117.71,2240.84,Basic,Month-to-month,Bank transfer,0,8,433.7,No
C-10130,119,51.29,,Premium,Two year,Electronic check,0,3,90.9,No
C-10131,17,105.61,1770.07,Standard,Month-to-month,Mailed check,0,6,122.5,Yes
C-10132,41,58.18,2427.49,Standard,One year,Mailed check,0,8,231.2,No
C-10133,47,89.68,4350.05,Standard,Two year,Mailed check,0,6,750.1,No
C-10134,62,57.89,3655.21,Standard,Month-to-month,Credit card,0,1,336.7,No
C-10135,9,110.92,949.35,Premium,Month-to-month,Credit card,1,3,378.1,Yes
C-10136,7,37.57,263.75,Premium,Two year,Bank transfer,1,8,287.7,No
C-10137,7,37.07,271.63,Premium Plus,Month-to-month,Credit card,0,7,557.5,No
C-10138,37,88.67,3358.03,Standard,Two year,Electronic check,0,5,654.3,No
C-10139,35,80.87,2821.58,Premium Plus,Month-to-month,Bank transfer,0,4,860.2,Yes
C-10140,29,83.56,2323.92,Basic,One year,Electronic check,0,1,673.2,No
C-10141,8,77.53,639.36,Basic,Two year,Electronic check,0,6,628.7,No
C-10142,20,69.78,1441.85,Basic,One year,Electronic check,0,6,650.2,Yes
C-10143,56,119.42,6975.21,Basic,Two year,Mailed check,0,2,123.1,Yes
C-10144,21,55.33,1216.51,Basic,One year,Bank transfer,0,3,758.7,Yes
C-10145,9,49.92,452.37,Premium,One year,Mailed check,0,4,840.5,No
C-10146,4,109.25,429.51,Premium Plus,Month-to-month,Bank transfer,0,1,64.3,Yes
C-10147,19,55.45,1055.06,Basic,One year,Mailed check,0,6,164.0,Yes
C-10148,97,35.56,3402.58,Premium,Month-to-month,Mailed check,0,8,741.7,No
C-10149,10,85.63,813.98,Premium Plus,Month-to-month,Mailed check,0,1,219.2,No
C-10150,2,59.45,118.65,Premium,Month-to-month,Bank transfer,0,1,413.7,Yes
C-10151,118,91.43,11158.86,Premium,One year,Credit card,0,2,152.2,No
C-10152,7,32.61,218.04,Premium,Two year,Bank transfer,0,6,880.2,No
C-10153,4,68.02,275.28,Premium,One year,Mailed check,0,3,296.2,Yes
C-10154,9,119.43,1097.06,Standard,Two year,Electronic check,1,8,573.3,Yes
C-10155,34,82.89,2754.53,Standard,Month-to-month,Mailed check,0,2,418.1,Yes
C-10156,26,106.44,2900.31,Premium Plus,One year,Mailed check,0,5,417.9,No
C-10157,5,62.71,327.44,Basic,One year,Credit card,0,3,328.7,Yes
C-10158,2,24.09,48.05,Basic,Two year,Electronic check,0,6,215.3,Yes
C-10159,108,53.43,5926.51,Basic,Month-to-month,Mailed check,0,5,362.9,No
C-10160,72,97.88,6965.65,Premium,Month-to-month,Electronic check,0,2,588.8,Yes
C-10161,7,78.66,527.21,Standard,Month-to-month,Bank transfer,0,4,669.3,No
C-10162,33,92.08,2963.44,Basic,Month-to-month,Bank transfer,0,5,436.7,No
C-10163,10,26.77,254.9,Premium Plus,Two year,Bank transfer,1,2,303.3,No
C-10164,6,39.02,245.16,Premium Plus,One year,Mailed check,0,7,690.6,No
C-10165,90,97.94,8514.91,Premium Plus,Two year,Mailed check,0,0,798.5,Yes
C-10166,113,90.78,10020.68,Premium,One year,Electronic check,1,2,248.1,No
C-10167,29,23.91,713.54,Standard,One year,Mailed check,1,3,509.1,No
C-10168,6,54.75,330.12,Premium,One year,Mailed check,0,6,814.6,No
C-10169,42,118.53,4817.33,Basic,One year,Electronic check,0,8,612.1,No
C-10170,12,94.58,1146.8,Premium Plus,Two year,Mailed check,0,7,245.3,No
C-10171,40,78.17,3106.13,Premium Plus,Month-to-month,Mailed check,0,7,138.7,No
C-10172,20,38.5,745.39,Standard,Month-to-month,Bank transfer,0,0,320.5,No
C-10173,19,88.74,1678.48,Standard,Month-to-month,Credit card,0,1,668.4,Yes
C-10174,24,95.04,2192.01,Basic,Two year,Electronic check,0,0,171.0,No
C-10175,9,34.26,315.62,Basic,Month-to-month,Bank transfer,1,1,230.0,Yes
