order_id,order_date,product,category,region,channel,units,unit_price,revenue,customer_rating,returned
ORD-1000,2025-11-24,Laptop,Electronics,East,Retail,8,999.0,6863.16,1.9,No
ORD-1001,2025-12-13,Phone,Electronics,North,Retail,48,799.0,44575.1,2.7,Yes
ORD-1002,2025-04-22,Tablet,Electronics,North,Retail,15,429.0,6607.94,1.8,No
ORD-1003,2025-10-07,Monitor,Electronics,Central,Distributor,27,249.0,6233.26,4.2,Yes
ORD-1004,2025-03-23,Keyboard,Accessories,East,Retail,45,79.0,3547.59,1.9,No
ORD-1005,2025-02-22,Mouse,Accessories,East,Distributor,6,39.0,,3.4,No
ORD-1006,2025-08-24,Headset,Accessories,West,Online,35,129.0,4035.01,3.2,No
ORD-1007,2025-11-13,Camera,Electronics,Central,Retail,57,549.0,36036.94,3.8,Yes
ORD-1008,2025-04-27,Laptop,Electronics,North,Retail,50,999.0,47516.73,4.5,No
ORD-1009,2025-08-21,Phone,Electronics,South,Distributor,41,799.0,37408.77,2.4,No
ORD-1010,2025-12-26,Tablet,Electronics,North,Retail,60,429.0,28037.08,3.5,No
ORD-1011,2025-05-06,Monitor,Electronics,East,Retail,11,249.0,2771.3,1.9,No
ORD-1012,2025-01-29,Keyboard,Accessories,East,Online,15,79.0,1348.09,,No
ORD-1013,2025-10-18,Mouse,Accessories,South,Online,57,39.0,2448.12,2.6,No
ORD-1014,2025-08-23,Headset,Accessories,South,Retail,10,129.0,1216.09,3.2,No
ORD-1015,2025-08-08,Camera,Electronics,East,Retail,58,549.0,33569.0,5.0,No
ORD-1016,2025-09-10,Laptop,Electronics,North,Retail,6,999.0,6680.46,3.5,No
ORD-1017,2025-08-05,Phone,Electronics,West,Retail,39,799.0,27179.71,5.0,No
ORD-1018,2025-10-11,Tablet,Electronics,North,Retail,56,429.0,28344.74,4.0,No
ORD-1019,2025-06-24,Monitor,Electronics,South,Online,8,249.0,1897.83,1.0,No
ORD-1020,2025-05-15,Keyboard,Accessories,Central,Online,33,79.0,2911.2,4.5,No
ORD-1021,2025-11-24,Mouse,Accessories,South,Distributor,33,39.0,1368.26,4.1,No
ORD-1022,2025-09-29,Headset,Accessories,East,Online,59,129.0,6470.87,1.1,No
ORD-1023,2025-06-07,Camera,Electronics,Central,Online,16,549.0,7644.49,1.3,No
ORD-1024,2025-02-05,Laptop,Electronics,South,Retail,49,999.0,50735.12,3.6,No
ORD-1025,2025-03-26,Phone,Electronics,Central,Online,17,799.0,14054.14,4.9,No
ORD-1026,2025-12-20,Tablet,Electronics,West,Distributor,13,429.0,6132.09,2.8,No
ORD-1027,2025-03-03,Monitor,Electronics,East,Online,16,249.0,3699.72,3.4,No
ORD-1028,2025-04-23,Keyboard,Accessories,North,Retail,1,79.0,69.11,1.3,Yes
ORD-1029,2025-06-19,Mouse,Accessories,East,Online,5,39.0,200.84,1.9,No
ORD-1030,2025-10-20,Headset,Accessories,West,Online,37,129.0,4846.67,1.8,No
ORD-1031,2025-08-09,Camera,Electronics,West,Online,23,549.0,12604.93,3.7,No
ORD-1032,2025-02-20,Laptop,Electronics,East,Online,4,999.0,3959.71,2.0,No
ORD-1033,2025-08-18,Phone,Electronics,East,Online,9,799.0,7174.16,2.0,No
ORD-1034,2025-08-15,Tablet,Electronics,Central,Online,52,429.0,25687.04,1.2,No
ORD-1035,2025-01-08,Monitor,Electronics,South,Retail,6,249.0,1754.3,2.6,No
ORD-1036,2025-07-25,Keyboard,Accessories,West,Online,58,79.0,3988.73,4.9,No
ORD-1037,2025-08-21,Mouse,Accessories,Central,Online,19,39.0,739.56,1.6,No
ORD-1038,2025-01-30,Headset,Accessories,North,Distributor,38,129.0,5429.0,1.2,No
ORD-1039,2025-09-15,Camera,Electronics,South,Online,59,549.0,37199.51,4.8,No
ORD-1040,2025-04-06,Laptop,Electronics,South,Online,5,999.0,5286.02,1.5,No
ORD-1041,2025-05-07,Phone,Electronics,Central,Online,38,799.0,32125.48,2.7,No
ORD-1042,2025-09-25,Tablet,Electronics,South,Distributor,21,429.0,,2.0,No
ORD-1043,2025-12-10,Monitor,Electronics,East,Online,42,249.0,9987.38,1.0,No
ORD-1044,2025-10-16,Keyboard,Accessories,South,Retail,7,79.0,484.23,2.1,No
ORD-1045,2025-02-05,Mouse,Accessories,East,Retail,57,39.0,2079.62,2.8,No
ORD-1046,2025-06-04,Headset,Accessories,Central,Online,40,129.0,6162.84,3.7,No
ORD-1047,2025-12-06,Camera,Electronics,South,Distributor,7,549.0,4529.46,1.5,No
ORD-1048,2025-10-11,Laptop,Electronics,Central,Retail,10,999.0,9443.77,3.9,No
ORD-1049,2025-11-21,Phone,Electronics,West,Distributor,55,799.0,41413.52,4.6,No
ORD-1050,2025-02-17,Tablet,Electronics,East,Online,41,429.0,17558.25,1.0,No
ORD-1051,2025-11-23,Monitor,Electronics,West,Retail,17,249.0,3837.44,3.8,No
