date,visits,sessions,signups,bounce_rate,avg_session_minutes
2025-01-01,876.0,1067,18,49.8,7.1
2025-01-02,873.0,1117,35,50.3,4.2
2025-01-03,891.0,1034,38,34.1,7.7
2025-01-04,650.0,750,16,29.8,9.2
2025-01-05,667.0,800,24,60.0,8.9
2025-01-06,717.0,859,29,33.7,7.7
2025-01-07,826.0,1047,17,41.9,2.8
2025-01-08,897.0,1066,34,47.3,2.6
2025-01-09,974.0,1178,41,35.0,7.7
2025-01-10,860.0,1006,20,29.3,9.4
2025-01-11,690.0,894,16,50.6,2.8
2025-01-12,685.0,855,15,50.6,6.8
2025-01-13,742.0,861,28,36.7,4.6
2025-01-14,859.0,1000,22,33.9,3.8
2025-01-15,925.0,1198,36,33.4,7.6
2025-01-16,938.0,1195,28,37.6,3.4
2025-01-17,895.0,1096,24,55.3,6.8
2025-01-18,728.0,837,19,45.4,5.5
2025-01-19,699.0,882,26,47.8,5.0
2025-01-20,795.0,968,29,49.3,8.6
2025-01-21,883.0,1103,29,49.3,3.7
2025-01-22,954.0,1130,28,54.3,4.8
2025-01-23,954.0,1152,41,40.6,4.8
2025-01-24,961.0,1143,37,41.3,3.6
2025-01-25,779.0,997,25,49.1,5.4
2025-01-26,724.0,861,28,40.6,4.2
2025-01-27,851.0,1067,20,57.9,7.9
2025-01-28,962.0,1239,28,52.5,7.2
2025-01-29,966.0,1192,36,51.8,5.4
2025-01-30,1023.0,1311,35,58.2,7.7
2025-01-31,928.0,1095,39,53.7,5.2
2025-02-01,813.0,953,18,44.1,3.6
2025-02-02,759.0,946,32,60.3,7.7
2025-02-03,849.0,1004,22,60.0,4.5
2025-02-04,952.0,1166,29,50.7,2.7
2025-02-05,1024.0,1238,34,38.1,5.8
2025-02-06,1036.0,1287,40,53.8,8.0
2025-02-07,944.0,1099,39,50.9,6.0
2025-02-08,769.0,987,25,34.7,5.7
2025-02-09,747.0,861,29,44.1,5.2
2025-02-10,,1016,35,28.1,3.2
2025-02-11,974.0,1181,31,46.8,7.5
2025-02-12,1028.0,1203,39,47.5,3.3
2025-02-13,1085.0,1407,32,34.7,7.9
2025-02-14,1023.0,1244,25,49.8,8.4
2025-02-15,843.0,1094,30,41.2,7.4
2025-02-16,794.0,961,34,34.5,3.3
2025-02-17,861.0,1110,35,48.0,8.8
2025-02-18,954.0,1153,32,45.2,7.2
2025-02-19,1086.0,1266,39,51.9,5.2
2025-02-20,1053.0,1283,37,43.4,7.2
